plastic_type,pct_PP,pct_LDPE,pct_HDPE,temperature_C,residence_time_min,feedstock_mass_g,reactor_fill_pct,heating_rate_C_min,catalyst,oil_yield_wt%,gas_yield_wt%,char_yield_wt%,reactor_type,source_title,source_doi,confidence,notes
mixed,24.0,46.0,30.0,650.0,195.0,,,,none,48.4,36.9,15.7,fluidized_bed,Effects of Heating Rate and Temperature on the Yield of Thermal Pyrolysis of a Random Waste Plastic Mixture (citing Donaj et al. 2012),10.1016/j.wasman.2011.10.009,1.0,1-3kg/h lab-scale bubbling fluidized bed; residence time converted from 3.25h
mixed,24.0,46.0,30.0,730.0,179.0,,,,none,44.7,42.4,13.9,fluidized_bed,Effects of Heating Rate and Temperature on the Yield of Thermal Pyrolysis of a Random Waste Plastic Mixture (citing Donaj et al. 2012),10.1016/j.wasman.2011.10.009,1.0,residence time converted from 2.98h
mixed,40.0,35.0,25.0,400.0,60.0,,,,none,18.89,41.24,39.86,fixed_bed,Effects of Heating Rate and Temperature on the Yield of Thermal Pyrolysis of a Random Waste Plastic Mixture (citing Papuga et al. 2016),10.2298/TSCI141113154P,1.0,200g fixed-bed pilot reactor; residence time group 1.0h per source table
mixed,40.0,35.0,25.0,500.0,60.0,,,,none,30.66,67.91,1.43,fixed_bed,Effects of Heating Rate and Temperature on the Yield of Thermal Pyrolysis of a Random Waste Plastic Mixture (citing Papuga et al. 2016),10.2298/TSCI141113154P,1.0,residence time inferred from table grouping - verify against original Papuga paper
mixed,40.0,35.0,25.0,450.0,60.0,,,,none,26.68,47.87,25.46,fixed_bed,Effects of Heating Rate and Temperature on the Yield of Thermal Pyrolysis of a Random Waste Plastic Mixture (citing Papuga et al. 2016),10.2298/TSCI141113154P,1.0,residence time inferred from table grouping - verify against original Papuga paper
mixed,40.0,35.0,25.0,475.0,45.0,,,,none,28.26,59.99,11.75,fixed_bed,Effects of Heating Rate and Temperature on the Yield of Thermal Pyrolysis of a Random Waste Plastic Mixture (citing Papuga et al. 2016),10.2298/TSCI141113154P,1.0,residence time group 0.75h per source table
mixed,40.0,35.0,25.0,500.0,45.0,,,,none,32.8,65.75,1.46,fixed_bed,Effects of Heating Rate and Temperature on the Yield of Thermal Pyrolysis of a Random Waste Plastic Mixture (citing Papuga et al. 2016),10.2298/TSCI141113154P,1.0,residence time group 0.75h per source table
mixed,40.0,35.0,25.0,525.0,45.0,,,,none,28.8,69.98,1.23,fixed_bed,Effects of Heating Rate and Temperature on the Yield of Thermal Pyrolysis of a Random Waste Plastic Mixture (citing Papuga et al. 2016),10.2298/TSCI141113154P,1.0,residence time group 0.75h per source table
mixed,,,,410.0,,,,10.0,none,69.0,,,semi-batch,Effects of Heating Rate and Temperature on the Yield of Thermal Pyrolysis of a Random Waste Plastic Mixture,10.3390/su14159026,1.0,"85.2% blend of LDPE+PP (undifferentiated) + 11.3% HDPE + 3.5% other; 2L reactor; max liquid yield condition, own experimental result of this paper; Tb=410C at heating rate 10C/min"
PP,100.0,0.0,0.0,500.0,30.0,,,5.0,none,70.0,24.3,5.7,tube_reactor,Catalytic pyrolysis of waste polypropylene using low-cost natural catalysts,10.1038/s41598-023-37769-8,1.0,"non-catalytic baseline; 1.5kW electric furnace, N2 80mL/min carrier gas; all 3 yields directly reported"
PP,100.0,0.0,0.0,500.0,30.0,,,5.0,kaolin_1:8,74.4,23.52,2.08,tube_reactor,Catalytic pyrolysis of waste polypropylene using low-cost natural catalysts,10.1038/s41598-023-37769-8,1.0,"char calculated by mass balance difference (100-oil-gas), not directly reported"
PP,100.0,0.0,0.0,500.0,30.0,,,5.0,kaolin_1:2,80.75,17.55,1.7,tube_reactor,Catalytic pyrolysis of waste polypropylene using low-cost natural catalysts,10.1038/s41598-023-37769-8,1.0,"optimum kaolin ratio, highest oil yield in this study; char calculated by difference"
PP,100.0,0.0,0.0,500.0,30.0,,,5.0,white_sand_1:8,51.67,44.0,4.33,tube_reactor,Catalytic pyrolysis of waste polypropylene using low-cost natural catalysts,10.1038/s41598-023-37769-8,1.0,highest gas yield condition in this study; char calculated by difference
PP,100.0,0.0,0.0,500.0,30.0,,,5.0,white_sand_1:1,68.0,29.24,2.76,tube_reactor,Catalytic pyrolysis of waste polypropylene using low-cost natural catalysts,10.1038/s41598-023-37769-8,1.0,char calculated by difference
PP,100.0,0.0,0.0,300.0,,,,,none,69.82,28.84,1.34,microsteel_reactor,Thermal decomposition of polypropylene plastics through vacuum pyrolysis (secondary citation of Ahmad et al. 2014),https://www.sciencedirect.com/science/article/abs/pii/S0360544223011015,0.6,SECONDARY CITATION - verify against original Ahmad et al. 2014 J. Anal. Appl. Pyrol.; residence time and heating rate not stated in secondary source
PP,100.0,0.0,0.0,380.0,,,,,none,80.1,6.6,13.3,unspecified,Thermal decomposition of polypropylene plastics through vacuum pyrolysis (secondary citation of Sakata et al. 2013),https://www.sciencedirect.com/science/article/abs/pii/S0360544223011015,0.6,SECONDARY CITATION - verify against original Sakata et al. 2013; residence time and heating rate not stated in secondary source
