source_title,source_doi,n_data_rows,plastic_types,avg_confidence
Pyrolysis of Recycled LLDPE/LDPE Polymer Blend: Optimization of Process Parameters for High Yield of Wax,10.3390/recycling11030044,45,LDPE,1.0
"Effect of Feed Mass, Reactor Temperature, and Time on the Yield of Waste Polypropylene Pyrolysis Oil Produced via a Fixed-Bed Reactor",10.3390/polym16101302,16,PP,1.0
In Vitro and In Silico Evaluation of the Pyrolysis of Polyethylene and Polypropylene Environmental Waste,10.3390/polym17222968,15,"HDPE,PP",1.0
Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of Sogancioglu et al.),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,10,"HDPE,LDPE",0.6
Effects of Heating Rate and Temperature on the Yield of Thermal Pyrolysis of a Random Waste Plastic Mixture (citing Papuga et al. 2016),10.2298/TSCI141113154P,6,mixed,1.0
Catalytic pyrolysis of waste polypropylene using low-cost natural catalysts,10.1038/s41598-023-37769-8,5,PP,1.0
Recent Trends in the Pyrolysis of Non-Degradable Waste Plastics (secondary citation of ref [81]),https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/open.202100184,4,"HDPE,LDPE,PP,mixed",0.6
An experimental analysis of diesel fuel produced from HDPE waste using thermal and catalytic pyrolysis with passive heat pipe cooling system,https://www.sciencedirect.com/science/article/abs/pii/S2451904921000792,3,HDPE,1.0
Catalytic pyrolysis of plastic wastes with two different types of catalysts: ZSM-5 zeolite and Red Mud,https://www.researchgate.net/publication/229127526,3,"HDPE,LDPE,PP",1.0
Kinetic study of pyrolysis of high-density polyethylene (HDPE) waste at different bed thickness in a fixed bed reactor,10.1002/cjce.24123,3,HDPE,1.0
"Pyrolysis of plastic waste for sustainable energy Recovery (secondary citation of Riesco-Avila, Vera-Rozo et al.)",https://www.sciencedirect.com/science/article/pii/S0196890425000342,2,mixed,0.6
A review on the pyrolytic conversion of plastic waste into fuels and chemicals (secondary citation of ref [84]),https://www.sciencedirect.com/science/article/pii/S0165237024001347,2,"HDPE,LDPE",0.6
